Epoch,Train_loss,Train_acc,val_loss,Val_acc,time,Elasttime
0,1.2438,0.5616,0.7496,0.7406,1635987905,0m 48s
1,0.7412,0.7426,0.598,0.7901,1635987951,0m 46s
2,0.6112,0.7902,0.5312,0.8156,1635987997,0m 46s
3,0.5333,0.8159,0.4878,0.8332,1635988043,0m 46s
4,0.4818,0.8342,0.4569,0.843,1635988088,0m 46s
5,0.4377,0.8483,0.4427,0.8499,1635988134,0m 46s
6,0.4056,0.8595,0.4217,0.8583,1635988180,0m 46s
7,0.3698,0.8715,0.4115,0.8607,1635988225,0m 46s
8,0.3602,0.8745,0.4061,0.8641,1635988271,0m 46s
9,0.3573,0.8764,0.4072,0.8626,1635988317,0m 46s
10,0.3541,0.8774,0.4026,0.8653,1635988363,0m 46s
11,0.3494,0.8788,0.401,0.8665,1635988408,0m 46s
12,0.3478,0.8783,0.3984,0.8665,1635988454,0m 46s
13,0.3422,0.8812,0.3976,0.8689,1635988500,0m 46s
14,0.3405,0.8815,0.3981,0.8664,1635988545,0m 46s
15,0.334,0.8837,0.3973,0.8684,1635988591,0m 46s
16,0.3384,0.8816,0.3974,0.8693,1635988637,0m 46s
17,0.3347,0.8829,0.3973,0.8681,1635988683,0m 46s
18,0.3373,0.8828,0.398,0.8669,1635988728,0m 46s
19,0.3383,0.8824,0.3961,0.8685,1635988774,0m 46s
20,0.3343,0.8837,0.395,0.87,1635988820,0m 46s
21,0.3372,0.8818,0.3962,0.8682,1635988866,0m 46s
22,0.3378,0.8832,0.3965,0.8687,1635988911,0m 46s
23,0.334,0.8843,0.396,0.8687,1635988957,0m 46s
24,0.3364,0.8822,0.3967,0.8687,1635989006,0m 49s
25,0.3355,0.8823,0.3963,0.8683,1635989052,0m 46s
26,0.3321,0.8837,0.3952,0.8688,1635989098,0m 46s
27,0.3362,0.8835,0.3962,0.8687,1635989144,0m 46s
28,0.3355,0.8837,0.3969,0.8689,1635989189,0m 46s
29,0.3361,0.8823,0.3982,0.8682,1635989235,0m 46s
30,0.3376,0.8822,0.3994,0.8671,1635989281,0m 46s
31,0.3392,0.8828,0.3984,0.8688,1635989327,0m 46s
32,0.3366,0.8833,0.3972,0.8677,1635989373,0m 46s
33,0.337,0.8839,0.3965,0.8695,1635989418,0m 46s
34,0.3347,0.8838,0.3985,0.8667,1635989464,0m 46s
35,0.3358,0.8836,0.3978,0.8691,1635989510,0m 46s
36,0.3341,0.8842,0.3965,0.8694,1635989556,0m 46s
37,0.3373,0.8822,0.3978,0.8694,1635989602,0m 46s
38,0.3355,0.8837,0.3957,0.8686,1635989648,0m 46s
39,0.3308,0.8848,0.3963,0.8702,1635989694,0m 46s
40,0.3327,0.8845,0.396,0.8702,1635989739,0m 46s
41,0.3328,0.8848,0.3981,0.8675,1635989785,0m 46s
42,0.3356,0.8826,0.398,0.8693,1635989831,0m 46s
43,0.3332,0.883,0.397,0.8682,1635989877,0m 46s
44,0.3338,0.8847,0.3969,0.867,1635989923,0m 46s
45,0.3325,0.8837,0.3999,0.8672,1635989968,0m 46s
46,0.3335,0.8834,0.398,0.8673,1635990014,0m 46s
47,0.3346,0.8843,0.3969,0.8691,1635990060,0m 46s
48,0.3337,0.8824,0.3968,0.868,1635990106,0m 46s
49,0.3333,0.8848,0.3963,0.8695,1635990152,0m 46s